OBJECTID,WatershedID,ReachCode,predicted_capacity,dam_density,percent_capacity,Shape_Length
148,1807030203,46007,0.64,0,0,0.00195219
149,1807030203,46007,0.64,0,0,0.002803658
150,1807030203,46007,0.63,0,0,0.000605668
151,1807030203,46007,0.6,0,0,0.001621461
152,1807030203,46007,1.47,0,0,0.002829295
153,1807030203,46007,3.37,0,0,0.001474445
154,1807030203,46007,3.54,0,0,0.001354013
155,1807030203,46007,3.62,0,0,0.001524873
156,1807030203,46007,0.58,0,0,0.000703898
157,1807030203,46007,0.62,0,0,0.001387836
158,1807030203,46007,0.61,0,0,0.000983176
159,1807030203,46007,0.62,0,0,0.001387318
160,1807030203,46007,0.57,0,0,0.000917992
161,1807030203,46007,0.57,0,0,0.00246487
162,1807030203,46007,2.58,0,0,0.003205459
163,1807030203,46007,3.4,0,0,0.000562325
164,1807030203,46007,3.62,0,0,0.000946751
165,1807030203,46007,0.58,0,0,0.001418769
166,1807030203,46007,0,0,,0.001778558
167,1807030203,46007,0,0,,0.001054408
168,1807030203,46007,0,0,,0.000430009
169,1807030203,46007,2.92,0,0,0.001352368
170,1807030203,46007,2.82,0,0,0.002908183
171,1807030203,46007,3.62,0,0,0.002906858
172,1807030203,46007,17.21,0,0,0.000619124
173,1807030203,46007,0.58,0,0,0.00276716
174,1807030203,46007,3.45,0,0,0.001860884
175,1807030203,46007,0.84,0,0,0.002056958
176,1807030203,46007,0.6,0,0,0.002132549
177,1807030203,46007,2.15,0,0,0.002366124
178,1807030203,46007,0.58,0,0,0.001618431
179,1807030203,46007,0.57,0,0,0.000412278
180,1807030203,46007,1.78,0,0,0.002110952
181,1807030203,46007,0.57,0,0,0.002208938
182,1807030203,46007,0.59,0,0,0.000292166
183,1807030203,46007,2.77,0,0,0.003026768
184,1807030203,46007,3,0,0,0.000932697
185,1807030203,46007,1.47,0,0,0.002769258
186,1807030203,46007,0.57,0,0,0.002757675
187,1807030203,46007,2.51,0,0,0.000775041
188,1807030203,46007,0.58,0,0,0.000287458
189,1807030203,46007,0.58,0,0,0.003076609
190,1807030203,46007,0.59,0,0,0.000392767
191,1807030203,46007,0.57,0,0,0.002390932
192,1807030203,46007,1.78,0,0,0.000716311
193,1807030203,46007,0,0,,0.003162
194,1807030203,46007,0.58,0,0,0.000930498
195,1807030203,46007,2.71,0,0,0.002021596
196,1807030203,46007,3.54,0,0,0.000541953
197,1807030203,46007,0.57,0,0,0.002869914
198,1807030203,46007,3.62,0,0,0.003212373
199,1807030203,46007,3.49,0,0,0.002497174
200,1807030203,46007,0,0,,0.000939275
201,1807030203,46007,20.02,0,0,0.000753031
202,1807030203,46007,0.59,0,0,0.002724429
203,1807030203,46007,2.71,0,0,0.001560769
204,1807030203,46007,1.63,0,0,0.002079358
205,1807030203,46007,0.58,0,0,0.001325632
206,1807030203,46007,2.63,0,0,7.60566E-05
207,1807030203,46007,2.27,0,0,0.002863749
208,1807030203,46007,3.17,0,0,0.000509712
209,1807030203,46007,0,0,,0.001623509
210,1807030203,46007,0.57,0,0,0.000631241
211,1807030203,46007,0,0,,7.46285E-05
212,1807030203,46007,0,0,,0.002214252
213,1807030203,46007,0,0,,0.001752221
214,1807030203,46007,0,0,,0.00163115
215,1807030203,46007,2.15,0,0,0.000379324
216,1807030203,46007,0.61,0,0,0.00028898
217,1807030203,46007,2.04,0,0,0.000145168
218,1807030203,46007,1.44,0,0,0.002892027
219,1807030203,46007,3.62,0,0,0.002957727
220,1807030203,46007,11.47,0,0,0.001816955
221,1807030203,46007,1.57,0,0,0.001781514
222,1807030203,46007,0.59,0,0,1.06082E-05
223,1807030203,46007,1.07,0,0,0.002777652
224,1807030203,46007,1.64,0,0,0.000401096
225,1807030203,46007,3.32,0,0,0.000945488
226,1807030203,46007,0,0,,0.000482031
227,1807030203,46007,0.57,0,0,0.001412978
228,1807030203,46007,2.15,0,0,0.001337493
229,1807030203,46007,0.57,0,0,0.000941898
230,1807030203,46007,3.11,0,0,0.001664892
231,1807030203,46007,2.25,0,0,0.000788509
232,1807030203,46007,0,0,,0.001095767
233,1807030203,46007,0,0,,0.001343197
234,1807030203,46007,0.57,0,0,0.001916317
235,1807030203,46007,0,0,,0.002809211
236,1807030203,46007,3.65,0,0,0.000378144
237,1807030203,46007,2.82,0,0,0.002535737
238,1807030203,46007,2.34,0,0,0.002532007
239,1807030203,46007,0,0,,0.001484261
240,1807030203,46007,2.06,0,0,0.000729457
241,1807030203,46007,0.57,0,0,0.000522543
242,1807030203,46007,0,0,,0.000420761
243,1807030203,46007,3.08,0,0,0.000639014
244,1807030203,46007,0.57,0,0,0.001832611
245,1807030203,46007,3.54,0,0,9.67293E-05
246,1807030203,46007,1.08,0,0,0.003172823
247,1807030203,46007,0.57,0,0,0.001521045
248,1807030203,46007,0,0,,0.001154397
249,1807030203,46007,0,0,,0.001913778
250,1807030203,46007,0.59,0,0,0.001917856
251,1807030203,46007,0.58,0,0,0.000323319
252,1807030203,46007,0.58,0,0,0.000779281
253,1807030203,46007,0.58,0,0,0.000841267
254,1807030203,46007,0.58,0,0,0.001037423
255,1807030203,46007,0,0,,0.001224636
256,1807030203,46007,0,0,,0.000310244
257,1807030203,46007,0.57,0,0,0.002858905
258,1807030203,46007,0.57,0,0,0.003222002
259,1807030203,46007,3.35,0,0,0.000487504
260,1807030203,46007,2.1,0,0,0.000442758
261,1807030203,46007,2.77,0,0,0.002143056
262,1807030203,46007,0,0,,0.003141728
263,1807030203,46007,3.43,0,0,0.000368075
264,1807030203,46007,0.63,0,0,0.000390238
265,1807030203,46007,3.61,0,0,0.001275567
266,1807030203,46007,7.56,0,0,0.002921947
267,1807030203,46007,7.65,0,0,0.000431534
268,1807030203,46007,0,0,,0.000849791
269,1807030203,46007,0,0,,0.002269032
270,1807030203,46007,0.57,0,0,0.00218769
271,1807030203,46007,1.28,0,0,0.002488691
272,1807030203,46007,2.15,0,0,0.003193358
273,1807030203,46007,0.59,0,0,0.003240711
274,1807030203,46007,3.29,0,0,0.001206935
275,1807030203,46007,3.39,0,0,0.002398339
276,1807030203,46007,0.57,0,0,0.002782889
277,1807030203,46007,0.57,0,0,0.000766882
278,1807030203,46007,0.6,0,0,0.002404853
279,1807030203,46007,3.55,0,0,0.002875896
280,1807030203,46007,3.55,0,0,0.002911421
281,1807030203,46007,3.62,0,0,0.001832859
282,1807030203,46007,3.55,0,0,0.002718178
283,1807030203,46007,2.15,0,0,0.000351277
284,1807030203,46007,3.54,0,0,0.0027676
285,1807030203,46007,3.4,0,0,0.000610934
286,1807030203,46007,2.43,0,0,0.001600151
287,1807030203,46007,1.78,0,0,0.002781473
288,1807030203,46007,1.78,0,0,0.002821613
289,1807030203,46007,3.61,0,0,0.002862631
290,1807030203,46007,3.62,0,0,0.002888632
291,1807030203,46007,3.62,0,0,0.003038078
292,1807030203,46007,1.78,0,0,0.003057755
293,1807030203,46007,1.78,0,0,0.001336745
294,1807030203,46007,0.57,0,0,0.002725059
295,1807030203,46007,0.57,0,0,0.002725894
296,1807030203,46007,3.11,0,0,0.001645441
297,1807030203,46007,3.58,0,0,0.001539843
298,1807030203,46007,0,0,,0.000935539
299,1807030203,46007,0.57,0,0,0.001144528
300,1807030203,46007,0.57,0,0,0.001547769
301,1807030203,46007,0,0,,0.000899109
302,1807030203,46007,1.78,0,0,0.001751109
303,1807030203,46007,3.4,0,0,0.002473484
304,1807030203,46007,3.34,0,0,0.00166131
305,1807030203,46007,3.52,0,0,0.000266896
306,1807030203,46007,0.61,0,0,0.000703818
307,1807030203,46007,11.78,0,0,0.000521049
308,1807030203,46007,3.22,0,0,0.00193309
309,1807030203,46007,0.58,0,0,0.001481824
310,1807030203,46007,0.59,0,0,0.001031084
311,1807030203,46007,0.62,0,0,0.003118663
312,1807030203,46007,0.6,0,0,0.000329026
313,1807030203,46007,3,0,0,0.000787255
314,1807030203,46007,0.57,0,0,0.000504198
315,1807030203,46007,2.51,0,0,0.001795042
316,1807030203,46007,0.57,0,0,0.001149214
317,1807030203,46007,3.49,0,0,0.000936473
318,1807030203,46007,3.04,0,0,0.00158003
319,1807030203,46007,0.62,0,0,0.000206011
320,1807030203,46007,3.61,0,0,0.000131713
321,1807030203,46007,0.57,0,0,0.002830323
322,1807030203,46007,3.62,0,0,0.001145169
323,1807030203,46007,0,0,,0.001068863
324,1807030203,46007,0.57,0,0,0.000971069
325,1807030203,46007,3.11,0,0,0.000786957
326,1807030203,46007,0.57,0,0,0.002188909
327,1807030203,46007,0.57,0,0,0.001061769
328,1807030203,46007,0,0,,0.001501872
329,1807030203,46007,3.62,0,0,0.001201615
330,1807030203,46007,27.78,0,0,0.000751559
331,1807030203,46007,0.62,0,0,0.000450449
332,1807030203,46007,0.64,0,0,0.000127733
333,1807030203,46007,2.53,0,0,0.000740191
334,1807030203,46007,0.58,0,0,0.001452161
335,1807030203,46007,0.59,0,0,0.002767602
336,1807030203,46007,0.6,0,0,0.000667768
337,1807030203,46007,3.25,0,0,0.003042132
338,1807030203,46007,3.61,0,0,0.00074572
339,1807030203,46007,8.98,0,0,0.000404242
340,1807030203,46007,2.96,0,0,0.002071798
341,1807030203,46007,0,0,,0.001300373
342,1807030203,46007,0.57,0,0,0.002280196
343,1807030203,46007,3.59,0,0,0.00287452
344,1807030203,46007,3.62,0,0,0.003067814
345,1807030203,46007,0,0,,0.001016746
346,1807030203,46007,3.22,0,0,0.000733623
347,1807030203,46007,0.57,0,0,0.001440073
348,1807030203,46007,0.57,0,0,0.001312331
349,1807030203,46007,0.57,0,0,0.002234936
350,1807030203,46007,0,0,,0.002957806
351,1807030203,46007,0.6,0,0,0.000433492
352,1807030203,46007,0.58,0,0,0.001191487
353,1807030203,46007,3.5,0,0,0.001296403
354,1807030203,46007,2.71,0,0,0.00192944
355,1807030203,46007,0,0,,0.003097989
356,1807030203,46007,3.04,0,0,0.000661559
357,1807030203,46007,0.59,0,0,0.000595374
358,1807030203,46007,0,0,,0.002208173
359,1807030203,46007,3.2,0,0,2.3839E-05
360,1807030203,46007,3.54,0,0,0.000204881
361,1807030203,46007,3.52,0,0,0.000744151
362,1807030203,46007,0.59,0,0,0.00178075
363,1807030203,46007,0.6,0,0,0.00091787
364,1807030203,46007,3.04,0,0,0.000279888
365,1807030203,46007,0.57,0,0,0.001363859
366,1807030203,46007,0.57,0,0,0.000929972
367,1807030203,46007,1.91,0,0,0.00081649
368,1807030203,46007,2.87,0,0,0.002117822
369,1807030203,46007,0.61,0,0,0.00132035
370,1807030203,46007,0.62,0,0,0.001640272
371,1807030203,46007,11.6,0,0,0.001960982
372,1807030203,46007,2.04,0,0,0.001125412
373,1807030203,46007,1.64,0,0,0.00046037
374,1807030203,46007,3.48,0,0,0.000578551
375,1807030203,46007,3.25,0,0,0.001110742
376,1807030203,46007,3.62,0,0,0.00062471
377,1807030203,46007,3.27,0,0,0.001883394
378,1807030203,46007,2.53,0,0,0.003147867
379,1807030203,46007,3,0,0,0.000856982
380,1807030203,46007,0,0,,0.00130213
381,1807030203,46007,0,0,,0.00050918
382,1807030203,46007,0.59,0,0,0.002826701
383,1807030203,46007,0.59,0,0,0.00047674
384,1807030203,46007,12.54,0,0,0.002787921
385,1807030203,46007,12.74,0,0,0.003020877
386,1807030203,46007,12.26,0,0,0.002289753
387,1807030203,46007,0.57,0,0,0.000873053
388,1807030203,46007,0.57,0,0,0.001155139
389,1807030203,46007,0.57,0,0,0.002776686
390,1807030203,46007,0.57,0,0,0.002761378
391,1807030203,46007,2.96,0,0,0.001015082
392,1807030203,46007,0.57,0,0,0.001727483
393,1807030203,46007,0.58,0,0,0.000489854
394,1807030203,46007,0,0,,0.002830288
395,1807030203,46007,0,0,,0.001275664
396,1807030203,46007,0,0,,0.000281022
397,1807030203,46007,0,0,,0.000849487
398,1807030203,46007,0.57,0,0,0.001631299
399,1807030203,46007,0,0,,0.002752655
400,1807030203,46007,0,0,,0.000283911
401,1807030203,46007,1.63,0,0,0.003164464
402,1807030203,46007,0.57,0,0,0.000570357
403,1807030203,46007,0.58,0,0,0.002862431
404,1807030203,46007,0.57,0,0,0.002742634
405,1807030203,46007,1.47,0,0,0.002850319
406,1807030203,46007,3.04,0,0,0.000967166
407,1807030203,46007,2.04,0,0,0.002967972
408,1807030203,46007,3.17,0,0,0.001417617
409,1807030203,46007,2.58,0,0,0.000555686
410,1807030203,46007,2.25,0,0,0.000260067
411,1807030203,46007,21.79,0,0,0.000379776
412,1807030203,46007,12.33,0,0,0.000839017
413,1807030203,46007,2.77,0,0,0.000339637
414,1807030203,46007,3,0,0,0.002743741
415,1807030203,46007,0.6,0,0,0.003151477
416,1807030203,46007,0.63,0,0,0.000718628
417,1807030203,46007,3.62,0,0,0.000468968
418,1807030203,46007,3.61,0,0,0.003168482
419,1807030203,46007,3.25,0,0,0.00164042
420,1807030203,46007,3.47,0,0,0.00045529
421,1807030203,46007,0.57,0,0,0.001898402
422,1807030203,46007,0.57,0,0,0.002424928
423,1807030203,46007,0.57,0,0,0.002727362
424,1807030203,46007,0.58,0,0,0.002657931
425,1807030203,46007,0.57,0,0,0.002106346
426,1807030203,46007,1.28,0,0,0.002921994
427,1807030203,46007,3.59,0,0,0.001537847
428,1807030203,46007,0,0,,0.001263496
429,1807030203,46007,0.57,0,0,0.002818935
430,1807030203,46007,0.58,0,0,0.000356788
431,1807030203,46007,0.57,0,0,0.001472891
432,1807030203,46007,0.57,0,0,0.000983972
433,1807030203,46007,0,0,,0.001626914
434,1807030203,46007,0.58,0,0,0.003176626
435,1807030203,46007,0.57,0,0,0.00225023
436,1807030203,46007,6.64,0,0,0.000880724
437,1807030203,46007,3.58,0,0,0.002971834
438,1807030203,46007,1.47,0,0,0.001991993
439,1807030203,46007,2.51,0,0,0.000836967
440,1807030203,46007,0.61,0,0,0.001960174
441,1807030203,46007,0.6,0,0,0.002765407
442,1807030203,46007,2.77,0,0,0.000376549
443,1807030203,46007,0.58,0,0,0.002730755
444,1807030203,46007,3.14,0,0,0.001352704
445,1807030203,46007,0.58,0,0,0.002008849
446,1807030203,46007,0.57,0,0,0.001909795
447,1807030203,46007,3.08,0,0,0.001951768
448,1807030203,46007,3.62,0,0,0.001796828
449,1807030203,46007,3.62,0,0,0.001622747
450,1807030203,46007,3.62,0,0,0.000765536
451,1807030203,46007,3.58,0,0,0.000516992
452,1807030203,46007,0,0,,0.002939021
453,1807030203,46007,0,0,,0.001500297
454,1807030203,46007,0.57,0,0,0.002270514
455,1807030203,46007,0.57,0,0,0.002889621
456,1807030203,46007,0,0,,0.002976528
457,1807030203,46007,0,0,,0.000600245
458,1807030203,46007,0,0,,0.001364611
459,1807030203,46007,0.84,0,0,0.001960652
460,1807030203,46007,0.59,0,0,0.002746493
461,1807030203,46007,0.58,0,0,0.000638805
462,1807030203,46007,0,0,,0.003140724
463,1807030203,46007,0,0,,0.003077808
464,1807030203,46007,0.57,0,0,0.002936029
465,1807030203,46007,0.57,0,0,0.001010977
466,1807030203,46007,0,0,,0.002309137
467,1807030203,46007,3.62,0,0,0.000255661
468,1807030203,46007,3.4,0,0,0.000589491
469,1807030203,46007,0,0,,0.003057563
470,1807030203,46007,3.43,0,0,0.002749481
471,1807030203,46007,3.62,0,0,0.001115307
472,1807030203,46007,8.77,0,0,0.000143411
473,1807030203,46007,10.77,0,0,0.000492351
474,1807030203,46007,0.58,0,0,0.002772321
475,1807030203,46007,0.57,0,0,0.000436064
476,1807030203,46007,0,0,,0.002257211
477,1807030203,46007,0.57,0,0,0.001054096
478,1807030203,46007,0.57,0,0,0.000903519
479,1807030203,46007,0.58,0,0,0.001755615
480,1807030203,46007,3.11,0,0,0.000781663
481,1807030203,46007,0.59,0,0,0.001330759
482,1807030203,46007,2.58,0,0,0.00042527
483,1807030203,46007,2.71,0,0,0.002078363
484,1807030203,46007,0.57,0,0,0.001622604
485,1807030203,46007,0.58,0,0,0.002042051
486,1807030203,46007,2.25,0,0,0.000950987
487,1807030203,46007,0.57,0,0,0.00223535
488,1807030203,46007,2.58,0,0,0.001038387
489,1807030203,46007,3.37,0,0,0.000535838
490,1807030203,46007,3.62,0,0,0.00065909
491,1807030203,46007,3.62,0,0,0.002491587
492,1807030203,46007,2.87,0,0,0.002544528
493,1807030203,46007,0.57,0,0,0.000874113
494,1807030203,46007,0.57,0,0,2.8428E-05
495,1807030203,46007,0.58,0,0,0.002468705
496,1807030203,46007,0.57,0,0,0.002375986
497,1807030203,46007,2.65,0,0,0.00247812
498,1807030203,46007,0.58,0,0,0.002374569
499,1807030203,46007,3.47,0,0,0.001540934
500,1807030203,46007,0.57,0,0,0.000203739
501,1807030203,46007,2.58,0,0,0.000350439
502,1807030203,46007,2.58,0,0,0.002830053
503,1807030203,46007,2.51,0,0,0.001603004
504,1807030203,46007,3.54,0,0,0.000744596
505,1807030203,46007,0.57,0,0,0.002519106
506,1807030203,46007,0,0,,0.001879319
507,1807030203,46007,0.57,0,0,0.000523849
508,1807030203,46007,0,0,,0.001375006
509,1807030203,46007,0,0,,0.000487843
510,1807030203,46007,0,0,,0.001611839
511,1807030203,46007,0.57,0,0,0.00083103
512,1807030203,46007,0.57,0,0,0.000566966
513,1807030203,46007,3.21,0,0,0.000121278
514,1807030203,46007,3.57,0,0,0.003218998
515,1807030203,46007,3.59,0,0,0.002269082
516,1807030203,46007,3.15,0,0,0.000100965
517,1807030203,46007,3.14,0,0,0.002564622
518,1807030203,46007,2.03,0,0,0.002213358
519,1807030203,46007,11.23,0,0,0.00305919
520,1807030203,46007,9.54,0,0,0.002032182
521,1807030203,46007,11.92,0,0,0.002935487
522,1807030203,46007,12.18,0,0,0.002814614
523,1807030203,46007,10.48,0,0,0.002889973
524,1807030203,46007,3.62,0,0,0.00069196
525,1807030203,46007,1.78,0,0,0.003118131
526,1807030203,46007,0.57,0,0,0.001555758
527,1807030203,46007,0.57,0,0,0.000610152
528,1807030203,46007,3.11,0,0,0.000924164
529,1807030203,46007,0.57,0,0,0.00155114
530,1807030203,46007,0.57,0,0,0.002711858
531,1807030203,46007,0.57,0,0,0.00104562
532,1807030203,46007,0.57,0,0,0.002821038
533,1807030203,46007,2.77,0,0,0.001918245
534,1807030203,46007,0,0,,0.001044111
535,1807030203,46007,3.32,0,0,0.001840905
536,1807030203,46007,1.56,0,0,0.003026367
537,1807030203,46007,0.61,0,0,0.000590143
538,1807030203,46007,3.59,0,0,0.000285074
539,1807030203,46007,0.64,0,0,0.00091305
540,1807030203,46007,0.63,0,0,8.88274E-06
541,1807030203,46007,3.62,0,0,0.0027934
542,1807030203,46007,0.57,0,0,0.001886151
543,1807030203,46007,11.68,0,0,0.001016992
544,1807030203,46007,0,0,,0.000619983
545,1807030203,46007,0.57,0,0,0.00088368
546,1807030203,46007,0.57,0,0,0.001957772
547,1807030203,46007,2.82,0,0,0.000372493
548,1807030203,46007,0.61,0,0,0.00084867
549,1807030203,46007,0,0,,0.000787871
550,1807030203,46007,1.78,0,0,0.001925941
551,1807030203,46007,0.59,0,0,0.00029116
552,1807030203,46007,0,0,,0.00294019
553,1807030203,46007,0,0,,0.002938372
554,1807030203,46007,3.53,0,0,0.00282614
555,1807030203,46007,10.77,0,0,0.001088993
556,1807030203,46007,2.34,0,0,0.000714235
557,1807030203,46007,2.92,0,0,0.000929307
558,1807030203,46007,3.32,0,0,0.000541899
559,1807030203,46007,3.5,0,0,0.000942643
560,1807030203,46007,3.48,0,0,0.00277392
561,1807030203,46007,3.35,0,0,0.000310809
562,1807030203,46007,7.94,0,0,0.002783727
563,1807030203,46007,12.18,0,0,0.002858187
564,1807030203,46007,2.87,0,0,0.001133153
565,1807030203,46007,0.63,0,0,0.00042801
566,1807030203,46007,2.71,0,0,0.000581515
567,1807030203,46007,3.11,0,0,0.000862969
568,1807030203,46007,6.12,0,0,0.001430245
569,1807030203,46007,0.57,0,0,0.002993726
570,1807030203,46007,1.28,0,0,0.002525941
571,1807030203,46007,0.61,0,0,0.000573155
572,1807030203,46007,0.59,0,0,0.000234145
573,1807030203,46007,0.57,0,0,0.002371651
574,1807030203,46007,1.91,0,0,0.00166917
575,1807030203,46007,0,0,,0.000920413
576,1807030203,46007,3.55,0,0,0.003119759
577,1807030203,46007,1.63,0,0,0.002725168
578,1807030203,46007,10.77,0,0,0.000378394
579,1807030203,46007,3.6,0,0,0.002383257
580,1807030203,46007,2.58,0,0,0.003117765
581,1807030203,46007,3.47,0,0,0.00041577
582,1807030203,46007,3.51,0,0,0.001546951
583,1807030203,46007,3.52,0,0,0.001215786
584,1807030203,46007,3.55,0,0,0.003219181
585,1807030203,46007,3.62,0,0,0.003496123
